iter	Accuracy	Logloss
367	0.8293376174	0.3813439896
368	0.8293376174	0.3813278429
369	0.8294611962	0.3812080331
370	0.8297083539	0.3811183911
371	0.8298319328	0.3811009214
372	0.8293376174	0.381011665
373	0.8293376174	0.3809506845
374	0.8294611962	0.3809127944
375	0.8297083539	0.3807307685
376	0.8297083539	0.3806567578
377	0.8299555116	0.3805352914
378	0.8303262481	0.3803383461
379	0.830449827	0.3801897884
380	0.8306969847	0.3799609025
381	0.8308205635	0.3798610434
382	0.8306969847	0.3797252233
383	0.8308205635	0.3796133937
384	0.8311913	0.3795136528
385	0.8311913	0.3794164016
386	0.8314384577	0.3793785472
387	0.8314384577	0.3793607829
388	0.8315620366	0.3792164364
389	0.8313148789	0.3790915617
390	0.8313148789	0.3790308822
391	0.8316856154	0.3788808291
392	0.8318091943	0.3788068027
393	0.8314384577	0.3787268009
394	0.8315620366	0.3786096209
395	0.8314384577	0.3785296128
396	0.8316856154	0.3784501871
397	0.8318091943	0.37841865
398	0.8314384577	0.378323481
399	0.8315620366	0.3782653197
400	0.8316856154	0.3780887182
401	0.8318091943	0.3780589194
402	0.8318091943	0.3777931602
403	0.8318091943	0.3777113703
404	0.832056352	0.3774510411
405	0.8316856154	0.3773391495
406	0.8318091943	0.3772266389
407	0.8319327731	0.3771753749
408	0.8319327731	0.3771730498
409	0.832056352	0.3771273601
410	0.8319327731	0.377080603
411	0.832056352	0.3769208258
412	0.8321799308	0.3768454871
413	0.8321799308	0.3767539681
414	0.8319327731	0.376682099
415	0.8324270885	0.376586076
416	0.8319327731	0.3765119678
417	0.8325506673	0.3764058414
418	0.832056352	0.3762808544
419	0.8325506673	0.3761585904
420	0.8325506673	0.3760662824
421	0.8324270885	0.3759224249
422	0.8323035096	0.3758491077
423	0.8324270885	0.3757806839
424	0.8324270885	0.3756784641
425	0.8325506673	0.3756588357
426	0.8325506673	0.3755679714
427	0.8324270885	0.3755255736
428	0.8324270885	0.3754754516
429	0.8324270885	0.3753943105
430	0.8326742462	0.3752442568
431	0.8326742462	0.3751287991
432	0.8331685615	0.375064501
433	0.8332921404	0.3749992319
434	0.8332921404	0.3749026861
435	0.8335392981	0.3748455598
436	0.8334157192	0.3747665203
437	0.8335392981	0.3747050442
438	0.8335392981	0.3746015326
439	0.8337864558	0.3744556511
440	0.8339100346	0.3743810115
441	0.8337864558	0.3743037563
442	0.8337864558	0.3742956115
443	0.8339100346	0.3741721313
444	0.83440435	0.3740466515
445	0.8347750865	0.3739701214
446	0.8346515077	0.3738719207
447	0.8348986653	0.3738190157
448	0.8347750865	0.3737106531
449	0.8347750865	0.3736667013
450	0.8347750865	0.3734935302
451	0.8347750865	0.3734587536
452	0.8347750865	0.373429676
453	0.8348986653	0.3732624278
454	0.8345279288	0.3732171109
455	0.8345279288	0.3732079184
456	0.8345279288	0.3730987542
457	0.8346515077	0.3730835579
458	0.8347750865	0.37302057
459	0.8345279288	0.372924316
460	0.8346515077	0.372845373
461	0.8348986653	0.3726634812
462	0.835145823	0.3723751881
463	0.835145823	0.37235548
464	0.835145823	0.3722724169
465	0.8348986653	0.3721496445
466	0.8350222442	0.3720784222
467	0.8348986653	0.3720345476
468	0.8350222442	0.3720322707
469	0.8348986653	0.3719824327
470	0.8356401384	0.3717808512
471	0.8356401384	0.3717088237
472	0.8355165596	0.371636565
473	0.8356401384	0.3714546396
474	0.8357637173	0.3713476222
475	0.8360108749	0.371318309
476	0.8361344538	0.3711572589
477	0.8361344538	0.3710923623
478	0.8365051903	0.370885589
479	0.8363816115	0.3707496394
480	0.8365051903	0.3705904201
481	0.8366287692	0.3705807406
482	0.8366287692	0.3705353181
483	0.8363816115	0.3704371571
484	0.8366287692	0.3703947763
485	0.8371230845	0.3702030503
486	0.8371230845	0.3699720309
487	0.8372466634	0.3698557047
488	0.8369995057	0.3697215389
489	0.8371230845	0.3696679446
490	0.8373702422	0.3695825441
491	0.8371230845	0.3694651976
492	0.8372466634	0.3694453835
493	0.8372466634	0.3694047968
494	0.8368759268	0.3693500346
495	0.8374938211	0.3692669797
496	0.8377409787	0.3691280832
497	0.8377409787	0.3690530635
498	0.8378645576	0.3689788095
499	0.8377409787	0.368914065
